user_id|kyc_level|kyc_outcome|created_at
0817387533|Simplified|Confirmed|2024-11-23 14:51:26
1979198372|Standard|Confirmed|2024-06-29 00:47:40
9146669647|Standard|Confirmed|2023-06-25 15:18:26
3419872890|Standard|Unconfirmed|2025-01-09 06:01:50
3419872890|Standard|Confirmed|2025-01-10 04:54:06
2125398960|Standard|Confirmed|2024-03-08 17:49:01
9785727425|Standard|Cancelled|2025-01-01 04:36:27
9785727425|Standard|Confirmed|2025-01-01 10:41:58
8079578459|Standard|Confirmed|2024-04-29 21:15:49
7049957459|Standard|Confirmed|2024-04-02 09:43:00
3415893782|Standard|Confirmed|2023-07-19 13:03:11
5677589239|Standard|Confirmed|2023-05-19 22:02:20
7163600209|Standard|Unconfirmed|2024-05-07 10:13:02
7163600209|Standard|Confirmed|2024-09-23 07:50:54
3255177997|Standard|Confirmed|2024-12-16 22:00:00
8894720351|Standard|Unconfirmed|2025-01-05 00:41:38
8894720351|Standard|Confirmed|2025-01-10 18:29:53
9677001723|Standard|Confirmed|2024-04-20 03:21:34
6480347263|Standard|Confirmed|2022-12-22 16:15:28
6451644387|Simplified|Confirmed|2024-07-11 06:47:15
0485837296|Standard|Confirmed|2024-07-11 10:16:06
3325595648|Simplified|Confirmed|2024-05-23 20:50:52
2151660861|Standard|Confirmed|2022-10-02 05:15:59
1810500785|Standard|Confirmed|2022-10-30 07:58:13
2320991026|Standard|Confirmed|2024-09-26 21:48:55
7212445158|Standard|Confirmed|2024-01-04 23:45:42
5815771310|Standard|Confirmed|2024-08-09 02:35:52
9074217629|Standard|Confirmed|2023-06-14 03:25:50
3318314626|Standard|Confirmed|2023-12-02 18:34:42
7918325660|Simplified|Confirmed|2024-03-18 06:11:16
4839168964|Simplified|Confirmed|2023-10-02 05:01:58
2616545093|Standard|Cancelled|2024-01-23 18:18:58
2616545093|Standard|Confirmed|2024-05-11 23:53:09
6788980882|Standard|Confirmed|2024-06-04 19:43:22
2715192071|Simplified|Confirmed|2024-10-02 21:48:14
2085918165|Standard|Confirmed|2023-07-19 09:41:57
2513943712|Simplified|Unconfirmed|2024-06-27 09:03:18
2513943712|Simplified|Confirmed|2024-08-01 22:33:51
9461817167|Standard|Confirmed|2024-10-09 21:44:29
6452810779|Standard|Confirmed|2023-09-23 08:43:39
9329639089|Standard|Confirmed|2023-08-04 11:29:01
4771933882|Standard|Confirmed|2023-09-23 17:37:45
1610456798|Simplified|Confirmed|2024-11-19 21:40:55
3109059430|Standard|Confirmed|2022-09-25 21:23:52
8376643532|Standard|Confirmed|2024-12-23 01:30:31
1985041242|Simplified|Confirmed|2024-07-25 06:11:28
6727792809|Standard|Cancelled|2024-06-26 14:28:47
6727792809|Standard|Confirmed|2024-10-23 07:15:38
5175849471|Standard|Confirmed|2023-10-25 00:15:04
